State,County,FIPS code,Avg Annual Change (5yr) %,Avg Annual Change (10yr) %,Rank National (5yr),Rank National (10yr),Rank in State (5yr),Rank in State (10yr)
AK,Sitka,02220,10.434000000000001,6.623,678,1221,1,1
AK,Kenai Peninsula,02122,8.986,5.911,1338,1696,2,2
AK,Matanuska Susitna,02170,8.214,5.407,1748,1995,3,4
AK,Ketchikan Gateway,02130,7.303999999999999,5.779999999999999,2131,1776,4,3
AK,Kodiak Island,02150,6.67,4.141,2321,2488,5,6
AK,Fairbanks North Star,02090,5.902,4.115,2485,2494,6,7
AK,Juneau,02110,5.662,4.201,2520,2471,7,5
AK,Anchorage,02020,5.542,3.4299999999999997,2539,2628,8,8
AL,Cherokee,01019,11.972,7.226999999999999,244,847,1,4
AL,Cleburne,01029,11.532,7.2620000000000005,339,828,2,3
AL,DeKalb,01049,11.144,7.117,449,916,3,5
AL,Lawrence,01079,11.046,6.558,479,1262,4,11
AL,Hale,01065,10.734,6.448,567,1318,5,13
AL,Marshall,01095,10.504000000000001,6.9,648,1048,6,7
AL,Clay,01027,10.496,6.859,653,1073,7,8
AL,Limestone,01083,10.486,6.850999999999999,656,1085,8,9
AL,Morgan,01103,10.313999999999998,6.688,723,1179,9,10
AL,Madison,01089,10.312000000000001,6.953,724,1010,10,6
AL,Russell,01113,10.246,6.367,745,1378,11,15
AL,Lauderdale,01077,9.994,6.254,851,1452,12,17
AL,Baldwin,01003,9.902,7.608,896,688,13,2
AL,Winston,01133,9.862,6.548,912,1265,14,12
AL,Jackson,01071,9.742,6.178,980,1508,15,20
AL,Colbert,01033,9.732,6.142,983,1543,16,22
AL,Cullman,01043,9.668000000000001,6.409999999999999,1015,1352,17,14
AL,Lamar,01075,9.49,5.723333333333333,1099,1817,18,32
AL,Conecuh,01035,9.303333333333333,4.315,1186,2435,19,51
AL,Pickens,01107,9.124,4.73,1287,2309,20,46
AL,Etowah,01055,9.092,5.574,1301,1912,21,34
AL,Covington,01039,9.038,4.871,1322,2247,22,45
AL,Randolph,01111,8.814,5.7829999999999995,1437,1772,23,30
AL,Bibb,01007,8.782,6.164,1456,1519,24,21
AL,Mobile,01097,8.776,6.206,1462,1484,25,19
AL,Marion,01093,8.728,5.9,1482,1704,26,26
AL,Blount,01009,8.712,5.982,1491,1652,27,24
AL,Chilton,01021,8.654,5.906,1521,1701,28,25
AL,Shelby,01117,8.606,6.312,1555,1414,29,16
AL,Butler,01013,8.574000000000002,4.456999999999999,1578,2401,30,50
AL,Henry,01067,8.526,5.7090000000000005,1597,1828,31,33
AL,Franklin,01059,8.492,5.803,1617,1757,32,29
AL,Tallapoosa,01123,8.43,5.88,1640,1714,33,27
AL,Chambers,01017,8.424,5.388,1643,2004,34,38
AL,Saint Clair,01115,8.244,6.014,1732,1625,35,23
AL,Coosa,01037,8.213333333333333,7.763333333333333,1749,631,36,1
AL,Coffee,01031,8.212,4.892,1750,2236,37,44
AL,Calhoun,01015,8.145999999999999,5.467,1785,1962,38,35
AL,Lee,01081,8.144,6.253,1786,1453,39,18
