Abbreviation,State,Avg Annual Change (5yr) %,Avg Annual Change (10yr) %,Rank by 5yr Growth,Rank by 10yr Growth
FL,Florida,11.364,9.696,1,2
ID,Idaho,11.048,10.1,2,1
ME,Maine,11.02,7.6819999999999995,3,14
NH,New Hampshire,10.828,7.836,4,10
MT,Montana,10.746,7.697,5,13
AZ,Arizona,10.669999999999998,8.812999999999999,6,4
RI,Rhode Island,10.458,7.808,7,11
TN,Tennessee,10.440000000000001,8.219,8,7
VT,Vermont,10.414,6.433,9,27
NC,North Carolina,10.394,7.775,10,12
GA,Georgia,10.14,8.202,11,8
SC,South Carolina,10.032,7.604000000000001,12,15
UT,Utah,9.778,8.648,13,5
NJ,New Jersey,9.724,6.205,14,30
CT,Connecticut,9.48,5.378,15,41
WI,Wisconsin,8.98,6.723999999999999,16,21
IN,Indiana,8.958,6.827,17,19
OH,Ohio,8.873999999999999,6.728,18,20
NM,New Mexico,8.828,6.0600000000000005,19,32
AR,Arkansas,8.732,5.957,20,34
MO,Missouri,8.709999999999999,6.55,21,24
NV,Nevada,8.687999999999999,9.159,22,3
DE,Delaware,8.664,5.691,23,37
KY,Kentucky,8.514,6.276999999999999,24,28
AL,Alabama,8.478,5.953,25,35
SD,South Dakota,8.464,6.445,26,26
WA,Washington,8.422,8.521,27,6
MI,Michigan,8.414,7.056,28,18
KS,Kansas,8.36,6.2219999999999995,29,29
NE,Nebraska,8.298,6.586,30,23
MA,Massachusetts,8.266,6.494,31,25
VA,Virginia,8.258,5.668,32,38
NY,New York,8.224,6.104,33,31
TX,Texas,8.224,7.249,33,16
OK,Oklahoma,8.202,5.709,35,36
PA,Pennsylvania,7.981999999999999,5.659000000000001,36,39
WY,Wyoming,7.636,5.24,37,42
CA,California,7.444,6.688,38,22
HI,Hawaii,7.428,6.019,39,33
CO,Colorado,7.42,7.8950000000000005,40,9
MS,Mississippi,7.176,4.934,41,44
IL,Illinois,7.086,4.882,42,45
MD,Maryland,6.956,4.819,43,46
IA,Iowa,6.948,5.156000000000001,44,43
OR,Oregon,6.867999999999999,7.181,45,17
AK,Alaska,6.578,4.268,46,47
WV,West Virginia,6.5680000000000005,4.197,47,48
MN,Minnesota,6.484,5.616,48,40
ND,North Dakota,5.168,3.742,49,50
LA,Louisiana,4.2219999999999995,3.432,50,51
DC,District Of Columbia,2.942,4.07,51,49
