Abbreviation,State,Year,Annual Change (%),Rolling Avg Growth Rate (3yr)
AK,Alaska,1975,,
AK,Alaska,1976,9.22,9.22
AK,Alaska,1977,7.88,8.55
AK,Alaska,1978,10.16,9.086666666666668
AK,Alaska,1979,11.11,9.716666666666667
AK,Alaska,1980,-5.28,5.329999999999999
AK,Alaska,1981,21.16,8.996666666666666
AK,Alaska,1982,24.77,13.549999999999999
AK,Alaska,1983,5.86,17.263333333333332
AK,Alaska,1984,6.78,12.469999999999999
AK,Alaska,1985,-5.5,2.3800000000000003
AK,Alaska,1986,-3.72,-0.8133333333333334
AK,Alaska,1987,-14.88,-8.033333333333333
AK,Alaska,1988,5.49,-4.37
AK,Alaska,1989,-9.89,-6.426666666666667
AK,Alaska,1990,1.62,-0.9266666666666667
AK,Alaska,1991,12.33,1.3533333333333335
AK,Alaska,1992,3.99,5.98
AK,Alaska,1993,1.39,5.903333333333333
AK,Alaska,1994,4.04,3.1400000000000006
AK,Alaska,1995,4.77,3.4000000000000004
AK,Alaska,1996,4.11,4.3066666666666675
AK,Alaska,1997,2.9,3.926666666666667
AK,Alaska,1998,2.37,3.1266666666666674
AK,Alaska,1999,3.64,2.9700000000000006
AK,Alaska,2000,2.28,2.7633333333333336
AK,Alaska,2001,4.92,3.6133333333333337
AK,Alaska,2002,4.46,3.8866666666666667
AK,Alaska,2003,3.32,4.233333333333333
AK,Alaska,2004,10.28,6.0200000000000005
AK,Alaska,2005,12.72,8.773333333333333
AK,Alaska,2006,10.0,11.0
AK,Alaska,2007,3.43,8.716666666666667
AK,Alaska,2008,-0.41,4.340000000000001
AK,Alaska,2009,-1.36,0.553333333333334
AK,Alaska,2010,-0.44,-0.736666666666666
AK,Alaska,2011,0.4,-0.4666666666666661
AK,Alaska,2012,0.22,0.0600000000000006
AK,Alaska,2013,2.6,1.073333333333334
AK,Alaska,2014,2.51,1.7766666666666673
AK,Alaska,2015,3.07,2.726666666666667
AK,Alaska,2016,1.86,2.4800000000000004
AK,Alaska,2017,1.34,2.0900000000000003
AK,Alaska,2018,1.45,1.5500000000000007
AK,Alaska,2019,2.07,1.6200000000000003
AK,Alaska,2020,2.31,1.943333333333334
AK,Alaska,2021,6.63,3.6700000000000004
AK,Alaska,2022,12.36,7.1000000000000005
AK,Alaska,2023,6.69,8.56
AK,Alaska,2024,4.9,7.983333333333334
AL,Alabama,1975,,
AL,Alabama,1976,8.21,8.21
AL,Alabama,1977,10.35,9.280000000000001
AL,Alabama,1978,7.9,8.82
AL,Alabama,1979,10.88,9.71
AL,Alabama,1980,5.15,7.976666666666667
AL,Alabama,1981,3.27,6.433333333333334
AL,Alabama,1982,-0.22,2.733333333333334
AL,Alabama,1983,5.19,2.7466666666666666
AL,Alabama,1984,5.97,3.646666666666667
AL,Alabama,1985,2.58,4.579999999999999
AL,Alabama,1986,4.86,4.47
AL,Alabama,1987,4.11,3.85
AL,Alabama,1988,2.56,3.8433333333333337
AL,Alabama,1989,1.73,2.8000000000000003
AL,Alabama,1990,1.66,1.9833333333333334
AL,Alabama,1991,2.44,1.9433333333333334
AL,Alabama,1992,2.69,2.263333333333333
AL,Alabama,1993,3.3,2.81
AL,Alabama,1994,3.42,3.1366666666666667
AL,Alabama,1995,4.17,3.6300000000000003
AL,Alabama,1996,3.36,3.65
AL,Alabama,1997,3.75,3.76
AL,Alabama,1998,3.82,3.643333333333333
AL,Alabama,1999,2.51,3.3599999999999994
AL,Alabama,2000,3.25,3.193333333333333
AL,Alabama,2001,4.16,3.306666666666666
AL,Alabama,2002,2.17,3.193333333333333
AL,Alabama,2003,2.31,2.8799999999999994
AL,Alabama,2004,3.32,2.5999999999999996
AL,Alabama,2005,6.88,4.169999999999999
AL,Alabama,2006,7.87,6.023333333333333
AL,Alabama,2007,4.13,6.293333333333333
AL,Alabama,2008,0.84,4.28
AL,Alabama,2009,-2.31,0.8866666666666663
AL,Alabama,2010,-4.4,-1.956666666666667
AL,Alabama,2011,-3.39,-3.366666666666667
AL,Alabama,2012,-1.52,-3.1033333333333335
AL,Alabama,2013,-0.56,-1.8233333333333335
AL,Alabama,2014,1.29,-0.26333333333333336
AL,Alabama,2015,2.32,1.0166666666666666
AL,Alabama,2016,2.66,2.09
AL,Alabama,2017,3.16,2.7133333333333334
AL,Alabama,2018,4.41,3.41
AL,Alabama,2019,4.59,4.053333333333334
AL,Alabama,2020,4.07,4.3566666666666665
AL,Alabama,2021,10.72,6.460000000000001
AL,Alabama,2022,15.94,10.243333333333334
AL,Alabama,2023,7.19,11.283333333333333
AL,Alabama,2024,4.47,9.200000000000001
